,b3405,b0149,b1733,b0926,b0187,b2516,b0014,b1855,b3609,b3176,b4042,b0214,b0222,b2525,b2594,b2820,b3177,b2697,b3299,b0416,b0053,b0737,b3052,b0740,b2608,b3233,b3472,b3613,b2894,b3019,b3621,b2822,b3167,b3164,b3961,b3984,b3165,b3736,b2827,b1237,b0659,b2232,b4025,b0161,b2512,b1203,b3631,b0677,b3935,b3734,#N/A,#N/A,b1105,b4362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,0.085,0.811,0.138,0.8,0.18,0.094,0.083,0.772,0.822,0.771,0.094,0.791,0.759,0.086,0.084,0.086,0.085,0.086,0.083,0.083,0.084,0.698,0.757,0.084,0.79,0.088,0.083,0.383,0.083,0.794,0.715,0.084,0.086,0.088,0.691,0.709,0.083,0.091,0.084,0.084,0.084,0.181,0.085,0.082,0.082,0.084,0.807,0.084,0.085,0.255,0.082,0.084,0.513,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
8.25,0.085,0.814,0.139,0.804,0.21,0.096,0.083,0.77,0.826,0.768,0.098,0.789,0.757,0.086,0.084,0.086,0.085,0.087,0.083,0.083,0.084,0.699,0.756,0.085,0.787,0.088,0.083,0.418,0.084,0.791,0.717,0.084,0.086,0.088,0.69,0.706,0.083,0.091,0.084,0.084,0.085,0.183,0.085,0.082,0.083,0.084,0.807,0.084,0.085,0.255,0.083,0.084,0.52,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
8.5,0.085,0.813,0.141,0.805,0.225,0.098,0.083,0.767,0.827,0.766,0.103,0.787,0.756,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.084,0.699,0.754,0.085,0.784,0.088,0.084,0.46,0.084,0.788,0.718,0.084,0.086,0.088,0.687,0.705,0.083,0.092,0.084,0.084,0.085,0.184,0.086,0.082,0.083,0.084,0.806,0.084,0.085,0.255,0.083,0.084,0.524,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
8.75,0.085,0.812,0.144,0.81,0.24,0.1,0.083,0.765,0.827,0.762,0.109,0.784,0.754,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.698,0.752,0.084,0.781,0.088,0.083,0.498,0.083,0.785,0.718,0.084,0.086,0.088,0.684,0.703,0.083,0.091,0.084,0.084,0.084,0.186,0.085,0.082,0.082,0.084,0.805,0.084,0.085,0.255,0.082,0.084,0.522,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
9,0.085,0.811,0.147,0.811,0.252,0.103,0.083,0.763,0.827,0.758,0.116,0.782,0.752,0.086,0.085,0.086,0.085,0.087,0.083,0.085,0.084,0.697,0.751,0.085,0.779,0.088,0.084,0.534,0.084,0.784,0.72,0.084,0.086,0.088,0.682,0.7,0.083,0.091,0.084,0.084,0.085,0.187,0.085,0.082,0.082,0.084,0.805,0.084,0.085,0.255,0.083,0.084,0.519,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
9.25,0.085,0.809,0.15,0.808,0.266,0.11,0.083,0.761,0.826,0.755,0.12,0.78,0.751,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.084,0.694,0.749,0.084,0.776,0.088,0.083,0.571,0.084,0.782,0.722,0.084,0.086,0.088,0.68,0.698,0.083,0.091,0.084,0.084,0.085,0.188,0.085,0.082,0.083,0.084,0.804,0.084,0.085,0.255,0.083,0.084,0.517,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
9.5,0.085,0.808,0.155,0.806,0.286,0.11,0.083,0.759,0.826,0.753,0.127,0.779,0.75,0.086,0.084,0.086,0.085,0.087,0.083,0.083,0.084,0.694,0.748,0.085,0.774,0.088,0.084,0.611,0.084,0.78,0.721,0.084,0.086,0.088,0.68,0.696,0.083,0.091,0.084,0.084,0.085,0.19,0.085,0.082,0.083,0.084,0.803,0.084,0.085,0.256,0.083,0.084,0.517,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
9.75,0.085,0.807,0.163,0.803,0.3,0.111,0.083,0.757,0.825,0.751,0.131,0.776,0.749,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.084,0.691,0.747,0.084,0.773,0.088,0.084,0.641,0.084,0.779,0.722,0.084,0.086,0.088,0.677,0.692,0.083,0.091,0.084,0.084,0.085,0.19,0.085,0.082,0.082,0.084,0.802,0.084,0.085,0.255,0.083,0.084,0.512,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
10,0.085,0.806,0.171,0.801,0.31,0.113,0.083,0.754,0.824,0.749,0.136,0.775,0.748,0.086,0.084,0.086,0.085,0.087,0.083,0.083,0.084,0.689,0.746,0.084,0.771,0.088,0.083,0.674,0.084,0.777,0.722,0.084,0.086,0.088,0.677,0.691,0.083,0.091,0.084,0.084,0.085,0.191,0.085,0.082,0.082,0.084,0.802,0.084,0.085,0.256,0.083,0.084,0.509,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
10.25,0.085,0.804,0.183,0.799,0.317,0.115,0.083,0.752,0.824,0.747,0.142,0.774,0.748,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.686,0.745,0.085,0.77,0.088,0.084,0.699,0.084,0.776,0.724,0.084,0.086,0.088,0.674,0.688,0.083,0.091,0.084,0.084,0.085,0.192,0.085,0.082,0.083,0.084,0.802,0.084,0.085,0.256,0.083,0.084,0.5,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
10.5,0.085,0.804,0.195,0.798,0.324,0.117,0.083,0.75,0.823,0.746,0.149,0.771,0.746,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.684,0.745,0.085,0.768,0.088,0.084,0.722,0.084,0.775,0.724,0.084,0.086,0.088,0.675,0.687,0.083,0.091,0.084,0.084,0.085,0.193,0.086,0.082,0.083,0.084,0.801,0.084,0.085,0.256,0.083,0.084,0.491,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
10.75,0.085,0.803,0.209,0.796,0.329,0.121,0.083,0.748,0.822,0.745,0.155,0.77,0.745,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.682,0.744,0.085,0.767,0.088,0.084,0.741,0.084,0.774,0.724,0.084,0.086,0.088,0.673,0.685,0.083,0.091,0.085,0.084,0.085,0.194,0.086,0.082,0.083,0.084,0.801,0.084,0.085,0.256,0.083,0.084,0.483,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
11,0.085,0.803,0.225,0.795,0.336,0.119,0.083,0.746,0.821,0.742,0.161,0.767,0.744,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.681,0.743,0.085,0.765,0.088,0.084,0.756,0.084,0.772,0.724,0.084,0.086,0.088,0.674,0.686,0.083,0.091,0.085,0.084,0.085,0.194,0.086,0.082,0.083,0.084,0.8,0.084,0.085,0.255,0.083,0.084,0.474,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
11.25,0.085,0.802,0.244,0.793,0.346,0.121,0.083,0.744,0.82,0.742,0.168,0.765,0.744,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.084,0.68,0.741,0.084,0.763,0.088,0.084,0.767,0.084,0.771,0.724,0.084,0.086,0.088,0.674,0.684,0.083,0.091,0.084,0.084,0.085,0.195,0.085,0.082,0.083,0.084,0.8,0.084,0.085,0.255,0.083,0.084,0.466,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
11.5,0.085,0.801,0.262,0.792,0.357,0.121,0.083,0.742,0.819,0.74,0.175,0.764,0.743,0.086,0.085,0.086,0.085,0.087,0.083,0.083,0.084,0.677,0.738,0.085,0.762,0.088,0.084,0.776,0.084,0.77,0.726,0.084,0.086,0.088,0.67,0.681,0.083,0.091,0.084,0.084,0.085,0.195,0.086,0.082,0.083,0.084,0.799,0.084,0.085,0.255,0.083,0.084,0.456,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
11.75,0.085,0.8,0.279,0.791,0.366,0.124,0.083,0.741,0.817,0.739,0.183,0.762,0.741,0.086,0.085,0.086,0.085,0.087,0.083,0.084,0.084,0.676,0.737,0.085,0.761,0.088,0.084,0.784,0.084,0.769,0.725,0.084,0.086,0.088,0.672,0.682,0.083,0.091,0.085,0.084,0.085,0.196,0.086,0.082,0.083,0.084,0.799,0.084,0.085,0.255,0.083,0.084,0.448,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
12,0.085,0.799,0.295,0.789,0.376,0.125,0.083,0.738,0.817,0.738,0.186,0.76,0.74,0.086,0.085,0.086,0.085,0.087,0.083,0.086,0.084,0.675,0.735,0.085,0.759,0.088,0.084,0.792,0.084,0.768,0.725,0.084,0.086,0.089,0.67,0.682,0.083,0.091,0.085,0.084,0.085,0.196,0.086,0.082,0.083,0.084,0.798,0.085,0.085,0.255,0.083,0.084,0.442,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
