,b3405,b0149,b1733,b0926,b0187,b2516,b0014,b1855,b3609,b3176,b4042,b0214,b0222,b2525,b2594,b2820,b3177,b2697,b3299,b0416,b0053,b0737,b3052,b0740,b2608,b3233,b3472,b3613,b2894,b3019,b3621,b2822,b3167,b3164,b3961,b3984,b3165,b3736,b2827,b1237,b0659,b2232,b4025,b0161,b2512,b1203,b3631,b0677,b3935,b3734,#N/A,#N/A,b1105,b4362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2.5,0.085,0.425,0.146,0.461,0.091,0.085,0.082,0.466,0.351,0.578,0.083,0.426,0.493,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.354,0.479,0.084,0.437,0.087,0.083,0.086,0.083,0.438,0.402,0.083,0.085,0.088,0.375,0.291,0.083,0.093,0.084,0.084,0.084,0.095,0.085,0.081,0.082,0.083,0.5,0.084,0.085,0.231,0.082,0.084,0.088,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
2.75,0.085,0.446,0.145,0.486,0.09,0.086,0.082,0.501,0.4,0.605,0.083,0.455,0.532,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.385,0.52,0.084,0.475,0.087,0.083,0.085,0.083,0.483,0.427,0.083,0.085,0.088,0.414,0.333,0.083,0.093,0.084,0.084,0.084,0.096,0.085,0.081,0.082,0.083,0.55,0.084,0.085,0.236,0.082,0.084,0.089,0.083,0.082,0.084,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
3,0.085,0.473,0.144,0.51,0.091,0.085,0.082,0.539,0.432,0.633,0.083,0.488,0.573,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.408,0.564,0.084,0.522,0.087,0.083,0.086,0.083,0.534,0.455,0.083,0.085,0.088,0.455,0.363,0.083,0.093,0.084,0.084,0.084,0.098,0.085,0.081,0.082,0.083,0.591,0.084,0.085,0.241,0.083,0.084,0.091,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
3.25,0.085,0.492,0.143,0.534,0.095,0.085,0.082,0.575,0.467,0.658,0.083,0.519,0.614,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.434,0.604,0.084,0.566,0.087,0.083,0.087,0.083,0.573,0.482,0.083,0.085,0.088,0.489,0.402,0.083,0.093,0.084,0.084,0.084,0.099,0.085,0.081,0.082,0.083,0.629,0.084,0.085,0.244,0.082,0.084,0.093,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
3.5,0.085,0.512,0.142,0.558,0.09,0.086,0.082,0.611,0.506,0.678,0.083,0.549,0.646,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.461,0.639,0.084,0.605,0.087,0.083,0.087,0.083,0.614,0.51,0.083,0.085,0.088,0.523,0.442,0.082,0.092,0.084,0.084,0.084,0.101,0.085,0.081,0.082,0.083,0.664,0.084,0.085,0.247,0.082,0.084,0.094,0.084,0.082,0.085,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082,0.082
3.75,0.085,0.535,0.142,0.581,0.091,0.086,0.082,0.64,0.551,0.698,0.083,0.582,0.677,0.085,0.084,0.086,0.084,0.086,0.082,0.086,0.083,0.488,0.668,0.084,0.643,0.087,0.083,0.09,0.083,0.649,0.537,0.083,0.085,0.088,0.556,0.482,0.083,0.092,0.084,0.084,0.084,0.103,0.085,0.081,0.082,0.083,0.694,0.084,0.085,0.25,0.082,0.084,0.098,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
4,0.085,0.561,0.142,0.604,0.09,0.086,0.082,0.667,0.59,0.713,0.083,0.612,0.7,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.515,0.693,0.084,0.675,0.087,0.083,0.092,0.083,0.679,0.562,0.083,0.085,0.088,0.585,0.522,0.083,0.092,0.084,0.084,0.084,0.105,0.085,0.081,0.082,0.084,0.724,0.084,0.085,0.249,0.082,0.084,0.104,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
4.25,0.085,0.588,0.141,0.625,0.091,0.086,0.083,0.689,0.626,0.727,0.084,0.641,0.718,0.085,0.084,0.086,0.084,0.086,0.082,0.083,0.083,0.543,0.711,0.084,0.701,0.087,0.083,0.097,0.083,0.704,0.586,0.083,0.085,0.088,0.606,0.558,0.083,0.092,0.084,0.084,0.084,0.108,0.085,0.081,0.082,0.083,0.744,0.084,0.085,0.251,0.082,0.084,0.109,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
4.5,0.085,0.612,0.139,0.645,0.091,0.086,0.083,0.706,0.658,0.741,0.083,0.665,0.733,0.085,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.566,0.726,0.084,0.728,0.087,0.083,0.104,0.083,0.726,0.606,0.083,0.085,0.088,0.625,0.586,0.083,0.092,0.084,0.084,0.084,0.112,0.085,0.081,0.082,0.083,0.762,0.084,0.085,0.253,0.082,0.084,0.121,0.084,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
4.75,0.085,0.642,0.14,0.665,0.09,0.086,0.082,0.723,0.685,0.752,0.083,0.686,0.747,0.085,0.084,0.086,0.085,0.086,0.082,0.083,0.083,0.588,0.741,0.084,0.75,0.087,0.083,0.115,0.083,0.746,0.621,0.083,0.085,0.088,0.646,0.611,0.083,0.092,0.084,0.084,0.084,0.115,0.085,0.081,0.082,0.083,0.777,0.084,0.085,0.252,0.082,0.084,0.126,0.083,0.083,0.085,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083
