,b1638,b2311,b3731,b3732,b4094,#N/A,b3735,#N/A,b3737,b3738,b3067,b3058,b3437,#N/A,b3809,b0887,b1054,b3733,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2.5,0.096,0.084,0.15,0.416,0.261,0.259,0.435,0.082,0.193,0.209,0.206,0.21,0.52,0.478,0.499,0.083,0.537,0.084,0.081,0.215,0.082,0.082,0.081,0.083,0.096,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
2.75,0.1,0.084,0.174,0.443,0.276,0.263,0.477,0.082,0.198,0.213,0.216,0.211,0.559,0.527,0.545,0.083,0.581,0.084,0.081,0.216,0.082,0.082,0.081,0.083,0.099,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
3,0.104,0.084,0.196,0.47,0.296,0.265,0.521,0.082,0.203,0.217,0.219,0.212,0.59,0.568,0.584,0.083,0.617,0.084,0.081,0.218,0.082,0.082,0.081,0.083,0.103,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
3.25,0.109,0.084,0.222,0.496,0.306,0.266,0.564,0.082,0.209,0.221,0.221,0.212,0.62,0.608,0.622,0.083,0.651,0.085,0.081,0.219,0.082,0.082,0.081,0.083,0.108,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
3.5,0.116,0.084,0.249,0.519,0.307,0.267,0.605,0.082,0.212,0.225,0.223,0.214,0.649,0.642,0.656,0.083,0.678,0.085,0.081,0.22,0.082,0.082,0.081,0.083,0.114,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
3.75,0.124,0.084,0.27,0.542,0.308,0.268,0.64,0.082,0.213,0.226,0.222,0.214,0.671,0.669,0.682,0.083,0.704,0.086,0.081,0.222,0.082,0.082,0.081,0.083,0.122,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
4,0.13,0.084,0.29,0.564,0.308,0.267,0.67,0.082,0.214,0.228,0.222,0.215,0.691,0.691,0.707,0.083,0.723,0.087,0.081,0.223,0.082,0.082,0.081,0.083,0.13,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.091,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
4.25,0.14,0.084,0.312,0.584,0.307,0.267,0.696,0.082,0.216,0.231,0.223,0.216,0.712,0.708,0.728,0.083,0.737,0.087,0.081,0.223,0.082,0.082,0.081,0.083,0.14,0.083,0.08,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.085,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
4.5,0.152,0.084,0.332,0.605,0.306,0.268,0.715,0.082,0.216,0.231,0.221,0.217,0.727,0.728,0.744,0.083,0.754,0.089,0.081,0.223,0.082,0.082,0.081,0.083,0.152,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
4.75,0.165,0.084,0.351,0.624,0.305,0.268,0.733,0.082,0.217,0.232,0.221,0.218,0.742,0.746,0.757,0.083,0.77,0.09,0.081,0.224,0.082,0.082,0.081,0.083,0.167,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
