,b1638,b2311,b3731,b3732,b4094,#N/A,b3735,#N/A,b3737,b3738,b3067,b3058,b3437,#N/A,b3809,b0887,b1054,b3733,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,0.598,0.084,0.467,0.78,0.294,0.27,0.781,0.083,0.216,0.23,0.217,0.221,0.762,0.756,0.752,0.084,0.789,0.135,0.081,0.229,0.082,0.083,0.082,0.083,0.591,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
8.25,0.613,0.084,0.471,0.786,0.294,0.27,0.776,0.083,0.215,0.23,0.216,0.22,0.759,0.752,0.749,0.083,0.786,0.145,0.081,0.229,0.082,0.083,0.082,0.083,0.618,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
8.5,0.628,0.084,0.475,0.79,0.292,0.269,0.773,0.083,0.215,0.23,0.216,0.219,0.758,0.751,0.746,0.083,0.783,0.151,0.081,0.229,0.082,0.083,0.082,0.083,0.643,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
8.75,0.643,0.084,0.482,0.795,0.291,0.268,0.772,0.083,0.216,0.23,0.216,0.22,0.757,0.749,0.745,0.083,0.779,0.158,0.081,0.23,0.082,0.083,0.082,0.083,0.668,0.083,0.081,0.081,0.083,0.082,0.081,0.084,0.083,0.085,0.081,0.081,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
9,0.658,0.084,0.485,0.802,0.289,0.267,0.768,0.083,0.215,0.23,0.215,0.219,0.756,0.747,0.742,0.084,0.777,0.164,0.081,0.229,0.082,0.083,0.082,0.083,0.687,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
9.25,0.671,0.084,0.491,0.803,0.287,0.266,0.767,0.083,0.216,0.23,0.215,0.219,0.754,0.745,0.74,0.083,0.774,0.172,0.081,0.23,0.082,0.083,0.082,0.083,0.705,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.087,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
9.5,0.681,0.085,0.496,0.801,0.285,0.265,0.765,0.083,0.216,0.229,0.215,0.219,0.754,0.744,0.739,0.084,0.771,0.181,0.081,0.23,0.083,0.083,0.082,0.083,0.72,0.084,0.081,0.081,0.083,0.083,0.081,0.084,0.083,0.085,0.081,0.081,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
9.75,0.687,0.085,0.5,0.798,0.282,0.263,0.763,0.083,0.216,0.229,0.219,0.219,0.753,0.742,0.737,0.083,0.769,0.189,0.081,0.23,0.082,0.083,0.082,0.083,0.731,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
10,0.698,0.085,0.504,0.795,0.279,0.261,0.76,0.083,0.216,0.229,0.219,0.219,0.753,0.741,0.736,0.084,0.766,0.198,0.081,0.23,0.082,0.083,0.082,0.084,0.737,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
10.25,0.704,0.085,0.507,0.793,0.277,0.26,0.758,0.083,0.215,0.229,0.218,0.219,0.751,0.74,0.734,0.084,0.764,0.207,0.081,0.229,0.082,0.083,0.082,0.084,0.74,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
10.5,0.703,0.085,0.51,0.791,0.275,0.259,0.756,0.083,0.216,0.229,0.217,0.218,0.749,0.739,0.733,0.083,0.762,0.219,0.081,0.23,0.082,0.083,0.082,0.084,0.742,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
10.75,0.698,0.085,0.514,0.788,0.271,0.257,0.756,0.083,0.216,0.229,0.218,0.219,0.75,0.737,0.732,0.084,0.76,0.232,0.081,0.23,0.082,0.083,0.082,0.084,0.745,0.083,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
11,0.692,0.085,0.518,0.786,0.267,0.255,0.754,0.083,0.215,0.229,0.217,0.219,0.749,0.737,0.731,0.084,0.758,0.246,0.081,0.229,0.082,0.083,0.082,0.084,0.745,0.084,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
11.25,0.687,0.085,0.52,0.784,0.264,0.253,0.753,0.083,0.216,0.229,0.217,0.219,0.748,0.736,0.73,0.084,0.756,0.261,0.081,0.23,0.082,0.083,0.082,0.083,0.746,0.084,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.083,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
11.5,0.682,0.085,0.523,0.782,0.26,0.251,0.751,0.083,0.216,0.229,0.216,0.219,0.748,0.734,0.728,0.084,0.754,0.275,0.081,0.229,0.082,0.083,0.082,0.084,0.746,0.084,0.081,0.081,0.083,0.082,0.081,0.083,0.083,0.085,0.081,0.08,0.081,0.082,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
11.75,0.677,0.085,0.524,0.781,0.257,0.249,0.749,0.083,0.215,0.228,0.215,0.219,0.746,0.734,0.727,0.084,0.753,0.289,0.081,0.229,0.082,0.083,0.082,0.083,0.747,0.084,0.081,0.081,0.083,0.082,0.081,0.084,0.083,0.085,0.081,0.08,0.081,0.09,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
12,0.674,0.085,0.526,0.779,0.253,0.247,0.747,0.083,0.215,0.228,0.215,0.219,0.744,0.733,0.727,0.084,0.751,0.301,0.081,0.229,0.082,0.083,0.082,0.083,0.746,0.084,0.081,0.081,0.083,0.082,0.081,0.083,0.084,0.085,0.081,0.08,0.081,0.084,0.081,0.082,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081,0.081
